order_item_id,order_id,product_name,category,quantity,price
1,3111,Table,Home,4,96.82
2,1048,Jacket,Clothing,2,193.14
3,4872,Shampoo,Beauty,1,42.85
4,5290,Sneakers,Clothing,1,197.15
5,4436,Monitor,Electronics,2,87.59
6,8361,Curtains,Home,2,180.76
7,1562,Sneakers,Clothing,1,26.58
8,7860,Headphones,Electronics,1,174.17
9,6806,Non-fiction,Books,1,58.64
10,7813,Jeans,Clothing,3,5.8
11,6287,Car,Toys,2,23.1
12,7844,Fiction,Books,3,33.4
13,575,Mouse,Electronics,1,138.65
14,9935,Lego,Toys,3,150.78
15,4017,Monitor,Electronics,4,177.22
16,7228,Shampoo,Beauty,1,181.27
17,4025,Fiction,Books,4,141.82
18,8723,Jacket,Clothing,3,196.46
19,991,Comics,Books,4,199.65
20,2121,Doll,Toys,3,30.12
21,4965,Comics,Books,2,80.6
22,2442,Non-fiction,Books,2,36.66
23,5878,Keyboard,Electronics,3,50.59
24,2521,Keyboard,Electronics,1,31.14
25,4409,Non-fiction,Books,2,197.15
26,9654,Fiction,Books,3,198.4
27,952,Sneakers,Clothing,1,50.26
28,965,Biography,Books,2,32.59
29,2135,Perfume,Beauty,3,24.84
30,4455,T-shirt,Clothing,1,144.49
31,8887,Keyboard,Electronics,1,164.74
32,2245,Jeans,Clothing,3,90.24
33,2804,Lego,Toys,4,11.07
34,3912,T-shirt,Clothing,4,142.45
35,1409,Lamp,Home,4,102.6
36,5238,Fiction,Books,4,199.92
37,4594,Keyboard,Electronics,1,198.95
38,8052,Car,Toys,4,26.37
39,8654,Table,Home,3,112.44
40,7664,Biography,Books,1,44.42
41,9810,Puzzle,Toys,4,119.68
42,7114,Sneakers,Clothing,3,139.08
43,8143,Table,Home,2,110.93
44,6378,Perfume,Beauty,1,42.46
45,8609,Biography,Books,3,120.03
46,5602,Doll,Toys,4,42.41
47,1389,Puzzle,Toys,3,73.08
48,6297,Lego,Toys,1,103.39
49,4368,Jacket,Clothing,2,136.35
50,9939,Shampoo,Beauty,4,53.68
51,3979,Table,Home,3,182.16
52,4491,Chair,Home,2,148.07
53,853,Lipstick,Beauty,1,92.09
54,6378,Car,Toys,4,184.11
55,9904,Facewash,Beauty,2,173.02
56,6502,Jeans,Clothing,1,108.25
57,8115,Comics,Books,4,32.59
58,8429,Facewash,Beauty,3,69.6
59,1057,Perfume,Beauty,2,125.83
60,2261,T-shirt,Clothing,1,29.29
61,9218,Chair,Home,3,106.54
62,909,Jeans,Clothing,4,109.09
63,450,Sneakers,Clothing,2,146.14
64,569,Non-fiction,Books,1,46.6
65,3499,Monitor,Electronics,2,28.49
66,5871,Fiction,Books,3,100.86
67,1309,Biography,Books,3,43.55
68,718,Puzzle,Toys,1,30.37
69,9162,Doll,Toys,2,106.17
70,3346,Monitor,Electronics,2,130.4
71,7215,Perfume,Beauty,3,48.89
72,7683,Lamp,Home,2,40.7
73,2719,Facewash,Beauty,2,141.41
74,9096,Fiction,Books,2,94.2
75,9643,Puzzle,Toys,1,64.71
76,1456,Perfume,Beauty,3,156.42
77,7298,Car,Toys,4,176.95
78,7036,Curtains,Home,1,97.09
79,4231,Lamp,Home,3,77.63
80,532,Monitor,Electronics,1,67.18
81,2268,Keyboard,Electronics,4,162.13
82,333,Shampoo,Beauty,1,10.24
83,5250,Jeans,Clothing,1,185.65
84,7200,Lamp,Home,4,139.39
85,5722,Mouse,Electronics,2,99.83
86,9514,Lipstick,Beauty,3,73.62
87,8013,Fiction,Books,4,40.66
88,7929,Doll,Toys,1,196.13
89,9901,Jeans,Clothing,2,184.59
90,6501,Biography,Books,1,87.1
91,401,Shampoo,Beauty,2,167.64
92,7040,Doll,Toys,1,12.91
93,3992,Puzzle,Toys,3,97.98
94,9671,Perfume,Beauty,3,160.33
95,1058,Lamp,Home,1,35.84
96,7934,Keyboard,Electronics,4,129.99
97,2994,Lego,Toys,1,118.85
98,8234,Facewash,Beauty,1,190.07
99,27,Keyboard,Electronics,4,59.1
100,3534,Lamp,Home,4,25.5
101,2619,Non-fiction,Books,1,139.56
102,9363,Perfume,Beauty,2,173.67
103,6640,Jeans,Clothing,3,97.03
104,6630,Biography,Books,2,112.44
105,7628,Doll,Toys,4,105.27
106,7043,Monitor,Electronics,3,87.04
107,8903,Lamp,Home,1,151.42
108,2019,Car,Toys,3,149.23
109,4879,Headphones,Electronics,1,139.25
110,2899,Keyboard,Electronics,1,183.47
111,6076,Lipstick,Beauty,4,5.11
112,2048,Jacket,Clothing,2,167.55
113,5203,Puzzle,Toys,4,190.61
114,1559,Jeans,Clothing,4,151.42
115,1723,Jacket,Clothing,3,64.24
116,4053,Lamp,Home,2,102.13
117,1652,Shampoo,Beauty,2,59.98
118,5223,Non-fiction,Books,2,101.77
119,1779,Shampoo,Beauty,2,77.1
120,684,Fiction,Books,3,95.88
121,9472,Chair,Home,3,93.68
122,2011,Jacket,Clothing,4,37.41
123,9408,Jacket,Clothing,4,82.32
124,2583,Curtains,Home,2,182.29
125,8506,Jacket,Clothing,4,117.22
126,7444,T-shirt,Clothing,3,72.33
127,5493,Biography,Books,4,92.95
128,444,Perfume,Beauty,1,54.86
129,1672,Fiction,Books,4,58.43
130,3267,Chair,Home,3,190.12
131,7426,Doll,Toys,2,146.11
132,5910,Comics,Books,1,28.48
133,7015,Shampoo,Beauty,1,183.9
134,5480,Mouse,Electronics,1,78.65
135,7820,T-shirt,Clothing,4,120.36
136,5142,Perfume,Beauty,4,187.46
137,716,Biography,Books,1,61.57
138,892,Jacket,Clothing,1,178.09
139,3808,Facewash,Beauty,2,179.85
140,501,Keyboard,Electronics,2,86.19
141,2641,Non-fiction,Books,1,36.63
142,9546,Chair,Home,2,175.66
143,8895,Headphones,Electronics,3,16.73
144,2334,Lego,Toys,4,23.8
145,2195,Curtains,Home,2,33.04
146,6938,Chair,Home,3,72.45
147,8576,Comics,Books,4,162.28
148,9078,Lipstick,Beauty,2,77.88
149,1592,Fiction,Books,4,173.41
150,5060,Facewash,Beauty,3,150.17
151,4399,Keyboard,Electronics,3,14.97
152,4441,Table,Home,4,122.29
153,1784,Biography,Books,1,182.69
154,5386,Lipstick,Beauty,2,104.06
155,4118,Jacket,Clothing,1,117.29
156,6983,Non-fiction,Books,3,51.04
157,2584,Curtains,Home,4,199.1
158,9922,Mouse,Electronics,2,142.73
159,8455,Car,Toys,2,97.07
160,2431,Car,Toys,1,188.1
161,5670,Perfume,Beauty,2,134.38
162,7061,Curtains,Home,2,11.85
163,8584,Biography,Books,2,45.04
164,2937,Doll,Toys,3,173.05
165,8732,Table,Home,1,57.56
166,9308,Fiction,Books,3,117.07
167,6710,Jeans,Clothing,4,167.5
168,9076,Table,Home,4,113.56
169,4324,Comics,Books,1,30.4
170,6617,Puzzle,Toys,4,168.14
171,2420,T-shirt,Clothing,3,181.5
172,1400,Non-fiction,Books,3,79.15
173,9769,Lego,Toys,3,29.64
174,2085,Jacket,Clothing,3,82.55
175,7805,Headphones,Electronics,1,6.23
176,6988,Non-fiction,Books,2,145.43
177,5157,Comics,Books,4,116.44
178,5310,Curtains,Home,1,121.95
179,1536,Lamp,Home,2,52.51
180,4754,Shampoo,Beauty,1,111.42
181,8282,T-shirt,Clothing,4,9.49
182,7049,Biography,Books,1,135.11
183,4191,Keyboard,Electronics,4,156.48
184,1655,T-shirt,Clothing,1,123.78
185,7554,Lamp,Home,1,197.38
186,7453,Shampoo,Beauty,3,68.88
187,8558,Jacket,Clothing,1,160.48
188,3961,Mouse,Electronics,1,197.78
189,6835,Jacket,Clothing,2,68.98
190,5092,Mouse,Electronics,3,25.16
191,519,Car,Toys,4,119.16
192,3711,Shampoo,Beauty,3,122.99
193,830,Table,Home,1,84.78
194,6628,Curtains,Home,4,16.84
195,8463,Mouse,Electronics,1,187.18
196,7989,Jacket,Clothing,3,86.87
197,2987,Sneakers,Clothing,3,157.81
198,6776,Biography,Books,1,36.43
199,6691,Perfume,Beauty,1,195.67
200,4815,Car,Toys,1,178.75
201,9200,Puzzle,Toys,2,19.71
202,8797,Comics,Books,3,133.07
203,177,Lipstick,Beauty,2,12.72
204,9907,T-shirt,Clothing,3,197.78
205,8829,Jacket,Clothing,3,121.85
206,6171,Biography,Books,4,99.66
207,2624,Puzzle,Toys,4,25.45
