order_id,customer_id,order_date,order_status,payment_method,total_amount
1,103,2025-02-09,completed,paypal,283.46
2,436,2023-05-04,completed,credit_card,213.93
3,861,2024-01-27,completed,credit_card,302.1
4,271,2024-06-27,completed,paypal,313.02
5,107,2024-04-23,completed,credit_card,390.09
6,72,2023-08-02,completed,credit_card,196.39
7,701,2025-04-05,completed,paypal,455.17
8,21,2023-07-15,completed,paypal,155.7
9,615,2023-06-06,completed,net_banking,298.38
10,122,2025-03-28,completed,wallet,220.13
11,467,2024-01-17,completed,paypal,288.63
12,215,2024-01-26,completed,paypal,39.51
13,331,2025-02-08,completed,paypal,480.45
14,459,2025-02-08,completed,wallet,58.62
15,88,2025-02-22,completed,net_banking,383.74
16,373,2024-12-15,cancelled,credit_card,316.5
17,100,2025-01-16,completed,wallet,139.68
18,872,2023-08-07,completed,paypal,49.78
19,664,2023-12-05,cancelled,paypal,127.53
20,131,2024-04-12,completed,net_banking,280.48
21,662,2023-08-10,completed,net_banking,86.7
22,309,2025-01-28,completed,net_banking,210.17
23,770,2025-02-11,cancelled,credit_card,347.79
24,344,2024-06-22,completed,wallet,240.26
25,492,2025-04-13,completed,wallet,25.99
26,414,2025-03-30,completed,net_banking,151.17
27,806,2024-03-13,completed,credit_card,148.53
28,386,2023-10-26,completed,wallet,431.21
29,192,2023-10-01,completed,paypal,44.88
30,956,2025-01-22,completed,paypal,124.38
31,277,2023-10-12,completed,paypal,139.63
32,161,2023-06-03,completed,wallet,397.71
33,460,2024-11-21,completed,net_banking,299.0
34,314,2023-08-06,completed,paypal,403.91
35,22,2023-07-21,completed,net_banking,106.93
36,253,2024-10-12,completed,credit_card,66.24
37,748,2024-10-18,completed,paypal,120.16
38,857,2023-08-10,completed,credit_card,83.0
39,561,2024-02-08,completed,net_banking,140.16
40,475,2024-11-10,completed,wallet,79.7
41,59,2023-05-11,completed,net_banking,39.22
42,511,2024-10-12,completed,paypal,398.39
43,682,2024-03-15,completed,paypal,301.57
44,476,2024-02-03,cancelled,net_banking,413.88
45,700,2023-06-02,returned,paypal,461.38
46,976,2024-10-16,completed,paypal,225.19
47,783,2023-07-12,completed,credit_card,239.66
48,190,2024-09-16,completed,wallet,159.0
49,958,2024-07-15,completed,net_banking,207.23
50,687,2023-06-17,completed,credit_card,143.4
51,958,2024-04-25,returned,paypal,274.59
52,563,2025-01-30,completed,credit_card,224.5
53,876,2024-07-25,returned,wallet,303.04
54,567,2025-02-25,completed,net_banking,445.82
55,244,2023-08-21,completed,wallet,369.92
56,832,2023-05-14,completed,wallet,305.82
57,505,2023-08-13,completed,credit_card,22.67
58,131,2024-01-29,completed,credit_card,122.17
59,485,2023-08-08,completed,wallet,340.41
60,819,2023-06-21,completed,paypal,431.65
61,647,2023-10-28,completed,net_banking,297.69
62,21,2023-06-19,completed,paypal,20.17
63,841,2023-04-30,completed,paypal,384.73
64,167,2024-07-06,completed,net_banking,412.5
65,274,2025-01-25,completed,credit_card,292.36
66,388,2025-01-12,returned,paypal,383.92
67,601,2024-03-09,completed,credit_card,95.84
68,316,2023-08-15,completed,net_banking,264.29
69,14,2024-12-05,completed,paypal,226.69
70,242,2023-09-09,completed,credit_card,146.3
71,777,2024-04-19,completed,credit_card,498.5
72,346,2024-11-18,completed,paypal,223.58
73,565,2023-08-07,completed,net_banking,408.98
74,898,2024-11-22,completed,wallet,484.84
75,340,2024-06-03,completed,credit_card,240.31
76,92,2024-10-14,cancelled,net_banking,210.09
77,367,2023-12-09,returned,paypal,167.32
78,956,2024-04-20,completed,credit_card,61.25
79,455,2024-03-05,completed,credit_card,88.8
80,428,2024-11-02,completed,credit_card,211.71
81,509,2024-01-08,completed,net_banking,252.78
82,776,2024-03-30,completed,credit_card,334.67
83,943,2024-12-17,completed,credit_card,206.22
84,35,2024-09-02,returned,paypal,382.64
85,206,2024-10-12,cancelled,credit_card,27.98
86,81,2023-05-01,completed,net_banking,53.15
87,932,2023-11-29,completed,paypal,133.68
88,562,2023-07-16,completed,wallet,66.8
89,872,2023-08-20,completed,paypal,388.55
90,388,2023-06-06,completed,credit_card,433.81
91,2,2025-03-05,completed,wallet,414.21
92,390,2024-09-01,cancelled,paypal,10.56
93,566,2023-05-15,completed,credit_card,435.99
94,106,2024-08-02,completed,paypal,236.37
95,772,2024-11-24,completed,net_banking,36.56
96,822,2023-09-02,completed,credit_card,264.04
97,477,2024-05-15,completed,net_banking,315.09
98,703,2023-08-23,completed,credit_card,254.26
99,402,2023-04-29,completed,net_banking,226.6
100,730,2024-02-22,completed,wallet,35.29
101,556,2025-01-26,completed,net_banking,140.86
102,162,2024-03-15,cancelled,paypal,74.2
103,202,2024-09-30,completed,credit_card,151.13
104,958,2025-03-01,completed,paypal,441.61
105,996,2024-04-07,completed,net_banking,247.51
106,270,2024-06-24,completed,credit_card,24.15
107,863,2024-10-24,completed,net_banking,318.71
108,816,2025-01-24,returned,wallet,401.66
109,271,2023-11-07,cancelled,wallet,357.79
110,456,2025-04-03,completed,wallet,162.27
111,462,2024-07-08,completed,net_banking,16.7
112,727,2024-05-14,completed,net_banking,209.92
113,252,2023-12-14,completed,wallet,120.1
114,702,2024-10-22,completed,net_banking,422.29
115,296,2023-10-14,completed,paypal,65.6
